Distance_m,RSSI_dBm,Timestamp,RSSI_filtered
0.65,-59,1770628806.50601,-59.694016687083014
0.65,-59,1770628806.60735,-59.69217145327689
0.65,-59,1770628806.70673,-59.690335971147306
0.65,-59,1770628806.80693,-59.68851016350453
0.65,-59,1770628806.90644,-59.686693953971364
0.65,-59,1770628807.00806,-59.68488726697247
0.65,-59,1770628807.1069,-59.683090027723864
0.65,-59,1770628807.20897,-59.681302162222615
0.65,-59,1770628807.30691,-59.679523597236646
0.65,-59,1770628807.40789,-59.67775426029474
0.65,-59,1770628807.50788,-59.67599407967667
0.65,-59,1770628807.60696,-59.674242984403506
0.65,-59,1770628807.70757,-59.67250090422806
0.65,-59,1770628807.8077,-59.67076776962548
0.65,-59,1770628807.90878,-59.66904351178399
0.65,-59,1770628808.00797,-59.66732806259577
0.65,-59,1770628808.10982,-59.66562135464799
0.65,-59,1770628808.20797,-59.66392332121394
0.65,-59,1770628808.30947,-59.66223389624435
0.65,-59,1770628808.40981,-59.660553014358804
0.65,-59,1770628808.50991,-59.658880610837286
0.65,-59,1770628808.60897,-59.65721662161187
0.65,-59,1770628808.70922,-59.655560983258546
0.65,-59,1770628808.8099,-59.65391363298912
0.65,-59,1770628808.90878,-59.65227450864329
0.65,-59,1770628809.0102,-59.65064354868079
0.65,-59,1770628809.11082,-59.649020692173714
0.65,-59,1770628809.21213,-59.64740587879889
0.65,-59,1770628809.30952,-59.64579904883042
0.65,-59,1770628809.40902,-59.64420014313227
0.65,-59,1770628809.50882,-59.64260910315104
0.65,-59,1770628809.6104,-59.64102587090879
0.65,-59,1770628809.7089,-59.639450388996
0.65,-59,1770628809.81002,-59.63788260056461
0.65,-59,1770628809.91034,-59.63632244932116
0.65,-59,1770628810.0099,-59.634769879520086
0.65,-59,1770628810.11188,-59.63322483595702
0.65,-59,1770628810.21179,-59.63168726396228
0.65,-59,1770628810.31226,-59.630157109394375
0.65,-59,1770628810.4112,-59.62863431863367
0.65,-59,1770628810.51181,-59.627118838576116
0.65,-59,1770628810.61108,-59.625610616627036
0.65,-59,1770628810.71283,-59.62410960069506
0.65,-59,1770628810.81239,-59.62261573918611
0.65,-59,1770628810.91403,-59.62112898099748
0.65,-59,1770628811.01295,-59.61964927551202
0.65,-59,1770628811.11382,-59.618176572592326
0.65,-59,1770628811.21288,-59.616710822575136
0.65,-59,1770628811.31321,-59.615251976265704
0.65,-59,1770628811.41247,-59.613799984932285
0.65,-59,1770628811.51317,-59.61235480030072
0.65,-59,1770628811.61318,-59.61091637454906
0.65,-59,1770628811.71286,-59.60948466030231
0.65,-59,1770628811.81192,-59.608059610627166
0.65,-59,1770628811.91293,-59.60664117902694
0.65,-59,1770628812.01191,-59.605229319436454
0.65,-59,1770628812.11408,-59.60382398621708
0.65,-59,1770628812.21283,-59.60242513415177
0.65,-59,1770628812.31326,-59.601032718440244
0.65,-59,1770628812.41204,-59.599646694694165
0.65,-59,1770628812.51381,-59.59826701893243
