Distance_m,RSSI_dBm,Timestamp
0.35,-55,1770628502.7111400
0.35,-55,1770628502.8124700
0.35,-55,1770628502.9131800
0.35,-55,1770628503.0122800
0.35,-55,1770628503.112580
0.35,-55,1770628503.2133900
0.35,-55,1770628503.3130000
0.35,-55,1770628503.4132200
0.35,-55,1770628503.513880
0.35,-55,1770628503.6126400
0.35,-55,1770628503.7136600
0.35,-55,1770628503.813310
0.35,-55,1770628503.9133700
0.35,-55,1770628504.0132900
0.35,-55,1770628504.1142500
0.35,-55,1770628504.214520
0.35,-55,1770628504.31411
0.35,-55,1770628504.4138000
0.35,-55,1770628504.5128700
0.35,-55,1770628504.613170
0.35,-55,1770628504.7127000
0.35,-55,1770628504.8126200
0.35,-55,1770628504.9125600
0.35,-55,1770628505.0124500
0.35,-55,1770628505.1125200
0.35,-55,1770628505.2145000
0.35,-55,1770628505.3135500
0.35,-55,1770628505.4150700
0.35,-55,1770628505.5147900
0.35,-55,1770628505.6142800
0.35,-55,1770628505.7146100
0.35,-55,1770628505.8153400
0.35,-55,1770628505.9156200
0.35,-55,1770628506.014810
0.35,-55,1770628506.1151500
0.35,-55,1770628506.216140
0.35,-55,1770628506.3143700
0.35,-55,1770628506.414850
0.35,-55,1770628506.514410
0.35,-55,1770628506.615370
0.35,-55,1770628506.7147900
0.35,-55,1770628506.8155500
0.35,-55,1770628506.9158600
0.35,-55,1770628507.0153200
0.35,-55,1770628507.1152800
0.35,-55,1770628507.2154000
0.35,-55,1770628507.3146200
0.35,-59,1770628507.4157100
0.35,-55,1770628507.5164700
0.35,-55,1770628507.6158200
0.35,-55,1770628507.715020
0.35,-55,1770628507.815490
0.35,-55,1770628507.9148300
0.35,-55,1770628508.0154200
0.35,-55,1770628508.1152300
0.35,-55,1770628508.215290
0.35,-55,1770628508.315270
0.35,-55,1770628508.4151100
0.35,-55,1770628508.5147200
0.35,-55,1770628508.6158000
0.35,-55,1770628508.7169400
0.35,-55,1770628508.815640
0.35,-55,1770628508.916300
0.35,-55,1770628509.0155300
0.35,-55,1770628509.1163100
0.35,-55,1770628509.2153200
0.35,-55,1770628509.315330
0.35,-55,1770628509.4151700
0.35,-55,1770628509.5163500
0.35,-55,1770628509.6158200
0.35,-55,1770628509.717690
0.35,-56,1770628509.816280
0.35,-56,1770628509.9172300
0.35,-55,1770628510.0164000
0.35,-55,1770628510.117650
0.35,-55,1770628510.2166500
0.35,-55,1770628510.3175000
0.35,-55,1770628510.4157200
0.35,-55,1770628510.5173100
0.35,-55,1770628510.6162100
0.35,-55,1770628510.7174000
0.35,-55,1770628510.8154800
0.35,-55,1770628510.9172400
0.35,-55,1770628511.017140
0.35,-54,1770628511.1184000
0.35,-55,1770628511.2182000
0.35,-54,1770628511.321160
0.35,-54,1770628511.416700
0.35,-55,1770628511.5165700
0.35,-55,1770628511.6163400
0.35,-55,1770628511.7161000
0.35,-55,1770628511.8162300
0.35,-55,1770628511.9164300
0.35,-55,1770628512.016220
0.35,-55,1770628512.116520
0.35,-54,1770628512.2168400
0.35,-54,1770628512.317520
0.35,-55,1770628512.4153400
0.35,-55,1770628512.5164000
0.35,-55,1770628512.6162700
0.35,-55,1770628512.716480
0.35,-55,1770628512.8160900
0.35,-55,1770628512.9163800
0.35,-55,1770628513.018300
0.35,-55,1770628513.1178200
0.35,-55,1770628513.2178000
0.35,-55,1770628513.3168500
0.35,-54,1770628513.417750
0.35,-54,1770628513.518490
0.35,-55,1770628513.6178400
0.35,-54,1770628513.7170800
0.35,-54,1770628513.8174500
0.35,-55,1770628513.917430
0.35,-55,1770628514.0175200
0.35,-55,1770628514.1175500
0.35,-55,1770628514.218530
0.35,-55,1770628514.3183300
0.35,-55,1770628514.419400
0.35,-55,1770628514.5181600
0.35,-55,1770628514.6177200
0.35,-54,1770628514.7176900
0.35,-54,1770628514.8179500
0.35,-55,1770628514.918950
0.35,-55,1770628515.019590
0.35,-55,1770628515.118540
0.35,-55,1770628515.2198000
0.35,-55,1770628515.320490
0.35,-55,1770628515.4203400
0.35,-55,1770628515.5204400
